
Learning rate: 1e-05
               Model Optimizer Epoch      Loss Accuracy (train)
23   Convolutional_1       SGD     3  2.314298        14.947972
24   Convolutional_1       SGD     4  2.316538        14.722852
25   Convolutional_1       SGD     5  2.363657        10.012006
26   Convolutional_1       SGD     6  2.363691        10.008671
27   Convolutional_1       SGD     7  2.363691        10.008671
28   Convolutional_1       SGD     8  2.363641        10.013674
29   Convolutional_1       SGD     9  2.363691        10.008671
30   Convolutional_1       SGD    10  2.363691        10.008671
31   Convolutional_1      Adam     1  2.363588        10.015342
32   Convolutional_1      Adam     2  2.363641        10.013674
33   Convolutional_1      Adam     3  2.363724        10.005336
34   Convolutional_1      Adam     4  2.363657        10.012006
35   Convolutional_1      Adam     5  2.363707        10.007004
36   Convolutional_1      Adam     6  2.363674        10.010339
37   Convolutional_1      Adam     7  2.363674        10.010339
38   Convolutional_1      Adam     8  2.363691        10.008671
39   Convolutional_1      Adam     9  2.363691        10.008671
40   Convolutional_1      Adam    10  2.363674        10.010339
41               ---       ---   ---       ---              ---
42   Convolutional_3       SGD     1  2.360402         10.28215
43   Convolutional_3       SGD     2  2.363657        10.012006
44   Convolutional_3       SGD     3  2.363674        10.010339
45   Convolutional_3       SGD     4  2.363674        10.010339
46   Convolutional_3       SGD     5  2.363674        10.010339
47   Convolutional_3       SGD     6  2.363674        10.010339
48   Convolutional_3       SGD     7  2.363641        10.013674
49   Convolutional_3       SGD     8  2.363691        10.008671
50   Convolutional_3       SGD     9  2.363674        10.010339
51   Convolutional_3       SGD    10  2.363657        10.012006
52   Convolutional_3      Adam     1  2.363606        10.017009
53   Convolutional_3      Adam     2  2.363674        10.010339
54   Convolutional_3      Adam     3  2.363657        10.012006
55   Convolutional_3      Adam     4  2.363724        10.005336
56   Convolutional_3      Adam     5  2.363691        10.008671
57   Convolutional_3      Adam     6  2.363624        10.015342
58   Convolutional_3      Adam     7  2.363674        10.010339
59   Convolutional_3      Adam     8  2.363674        10.010339
60   Convolutional_3      Adam     9  2.363657        10.012006
61   Convolutional_3      Adam    10  2.363657        10.012006
----------------------------------------------------------------

